,PassengerId,Survived,Pclass,Sex,Fare_q,Age,SibSp,Parch
174,266,0.0,2,0,1,36.0,0,0
175,268,1.0,3,0,2,25.0,0,0
176,270,1.0,1,1,10,35.0,0,0
178,272,1.0,3,0,1,25.0,0,0
179,274,0.0,1,0,8,37.0,0,0
181,276,1.0,1,1,9,63.0,0,0
182,277,0.0,3,1,2,45.0,0,0
184,281,0.0,3,0,2,65.0,0,0
185,282,0.0,3,0,1,28.0,0,0
186,283,0.0,3,0,4,16.0,0,0
187,284,1.0,3,0,1,19.0,0,0
189,286,0.0,3,0,4,33.0,0,0
190,287,1.0,3,0,4,30.0,0,0
191,288,0.0,3,0,3,22.0,0,0
192,289,1.0,2,0,5,42.0,0,0
193,290,1.0,3,1,2,22.0,0,0
194,291,1.0,1,1,10,26.0,0,0
195,293,0.0,2,0,5,36.0,0,0
196,294,0.0,3,1,4,24.0,0,0
197,295,0.0,3,0,3,24.0,0,0
199,297,0.0,3,0,1,23.5,0,0
203,303,0.0,3,0,1,19.0,0,0
207,310,1.0,1,1,9,30.0,0,0
208,311,1.0,1,1,10,24.0,0,0
209,314,0.0,3,0,3,28.0,0,0
210,316,1.0,3,1,1,26.0,0,0
211,318,0.0,2,0,5,54.0,0,0
212,321,0.0,3,0,1,22.0,0,0
213,322,0.0,3,0,3,27.0,0,0
214,323,1.0,2,1,5,30.0,0,0
215,326,1.0,1,1,10,36.0,0,0
216,327,0.0,3,0,1,61.0,0,0
217,328,1.0,2,1,5,36.0,0,0
219,332,0.0,1,0,8,45.5,0,0
221,338,1.0,1,1,10,41.0,0,0
222,339,1.0,3,0,1,45.0,0,0
223,340,0.0,1,0,8,45.0,0,0
224,343,0.0,2,0,5,28.0,0,0
225,344,0.0,2,0,5,25.0,0,0
226,345,0.0,2,0,5,36.0,0,0
227,346,1.0,2,1,5,24.0,0,0
228,347,1.0,2,1,5,40.0,0,0
230,350,0.0,3,0,4,42.0,0,0
231,351,0.0,3,0,4,23.0,0,0
233,353,0.0,3,0,1,15.0,0,0
235,356,0.0,3,0,4,28.0,0,0
236,357,1.0,1,1,9,22.0,0,0
237,358,0.0,2,1,5,38.0,0,0
240,364,0.0,3,0,1,35.0,0,0
242,366,0.0,3,0,1,30.0,0,0
245,370,1.0,1,1,9,24.0,0,0
246,372,0.0,3,0,1,18.0,0,0
247,373,0.0,3,0,1,19.0,0,0
248,374,0.0,1,0,10,22.0,0,0
249,377,1.0,3,1,1,22.0,0,0
250,379,0.0,3,0,1,20.0,0,0
251,380,0.0,3,0,2,19.0,0,0
252,381,1.0,1,1,10,42.0,0,0
253,383,0.0,3,0,3,32.0,0,0
255,386,0.0,2,0,9,18.0,0,0
256,388,1.0,2,1,5,36.0,0,0
258,390,1.0,2,1,5,17.0,0,0
259,392,1.0,3,0,2,21.0,0,0
260,393,0.0,3,0,3,28.0,0,0
261,396,0.0,3,0,2,22.0,0,0
262,397,0.0,3,1,1,31.0,0,0
263,398,0.0,2,0,7,46.0,0,0
264,399,0.0,2,0,1,23.0,0,0
265,400,1.0,2,1,5,28.0,0,0
266,401,1.0,3,0,3,39.0,0,0
267,402,0.0,3,0,1,26.0,0,0
268,403,0.0,3,1,4,21.0,0,0
269,405,0.0,3,1,4,20.0,0,0
270,407,0.0,3,0,2,51.0,0,0
271,409,0.0,3,0,2,21.0,0,0
276,415,1.0,3,0,3,44.0,0,0
278,418,1.0,2,1,5,18.0,0,0
279,419,0.0,2,0,5,30.0,0,0
281,422,0.0,3,0,2,21.0,0,0
282,423,0.0,3,0,3,29.0,0,0
284,428,1.0,2,1,7,19.0,0,0
286,430,1.0,3,0,1,32.0,0,0
287,431,1.0,1,0,7,28.0,0,0
289,434,0.0,3,0,1,17.0,0,0
290,440,0.0,2,0,1,31.0,0,0
291,442,0.0,3,0,4,20.0,0,0
292,443,0.0,3,0,2,25.0,0,0
293,444,1.0,2,1,5,28.0,0,0
295,448,1.0,1,0,7,34.0,0,0
296,450,1.0,1,0,8,52.0,0,0
298,453,0.0,1,0,8,30.0,0,0
300,456,1.0,3,0,3,29.0,0,0
301,457,0.0,1,0,7,65.0,0,0
302,459,1.0,2,1,1,50.0,0,0
304,461,1.0,1,0,7,48.0,0,0
305,462,0.0,3,0,1,34.0,0,0
306,463,0.0,1,0,8,47.0,0,0
307,464,0.0,2,0,5,48.0,0,0
309,466,0.0,3,0,1,38.0,0,0
311,468,0.0,1,0,7,56.0,0,0
314,472,0.0,3,0,4,38.0,0,0
315,474,1.0,2,1,5,23.0,0,0
316,475,0.0,3,1,4,22.0,0,0
318,478,0.0,3,0,1,29.0,0,0
319,479,0.0,3,0,1,22.0,0,0
321,483,0.0,3,0,1,50.0,0,0
322,484,1.0,3,1,4,63.0,0,0
324,488,0.0,1,0,8,58.0,0,0
325,489,0.0,3,0,1,30.0,0,0
327,492,0.0,3,0,1,21.0,0,0
328,493,0.0,1,0,8,55.0,0,0
329,494,0.0,1,0,9,71.0,0,0
330,495,0.0,3,0,1,21.0,0,0
332,497,1.0,1,1,10,54.0,0,0
334,500,0.0,3,0,2,24.0,0,0
335,501,0.0,3,0,4,17.0,0,0
336,502,0.0,3,1,2,21.0,0,0
338,504,0.0,3,1,4,37.0,0,0
339,505,1.0,1,1,10,16.0,0,0
341,509,0.0,3,0,7,28.0,0,0
342,510,1.0,3,0,9,26.0,0,0
343,511,1.0,3,0,2,29.0,0,0
345,513,1.0,1,0,7,36.0,0,0
346,515,0.0,3,0,1,24.0,0,0
347,516,0.0,1,0,8,47.0,0,0
348,517,1.0,2,1,1,34.0,0,0
350,520,0.0,3,0,3,32.0,0,0
351,521,1.0,1,1,10,30.0,0,0
352,522,0.0,3,0,3,22.0,0,0
355,526,0.0,3,0,2,40.5,0,0
356,527,1.0,2,1,1,50.0,0,0
358,529,0.0,3,0,3,39.0,0,0
359,530,0.0,2,0,5,23.0,0,0
361,533,0.0,3,0,1,17.0,0,0
363,535,0.0,3,1,4,30.0,0,0
364,537,0.0,1,0,7,45.0,0,0
365,538,1.0,1,1,10,30.0,0,0
367,540,1.0,1,1,9,22.0,0,0
368,546,0.0,1,0,7,64.0,0,0
370,552,0.0,2,0,7,27.0,0,0
372,554,1.0,3,0,1,22.0,0,0
373,555,1.0,3,1,2,22.0,0,0
374,556,0.0,1,0,7,62.0,0,0
375,557,1.0,1,1,8,48.0,0,0
378,562,0.0,3,0,3,40.0,0,0
379,563,0.0,2,0,5,28.0,0,0
382,567,0.0,3,0,3,19.0,0,0
384,570,1.0,3,0,1,32.0,0,0
385,571,1.0,2,0,1,62.0,0,0
386,572,1.0,1,1,9,53.0,0,0
387,573,1.0,1,0,7,36.0,0,0
389,575,0.0,3,0,1,16.0,0,0
390,576,0.0,3,0,6,19.0,0,0
391,577,1.0,2,1,5,34.0,0,0
393,580,1.0,3,0,3,32.0,0,0
394,583,0.0,2,0,7,54.0,0,0
395,584,0.0,1,0,8,36.0,0,0
397,587,0.0,2,0,6,47.0,0,0
398,589,0.0,3,0,1,22.0,0,0
400,591,0.0,3,0,1,35.0,0,0
401,592,1.0,1,1,10,52.0,0,0
402,593,0.0,3,0,1,47.0,0,0
405,598,0.0,3,0,1,49.0,0,0
407,600,1.0,1,0,9,49.0,0,0
408,601,1.0,2,1,8,24.0,0,0
411,604,0.0,3,0,1,44.0,0,0
412,605,1.0,1,0,7,35.0,0,0
413,607,0.0,3,0,3,30.0,0,0
414,608,1.0,1,0,8,27.0,0,0
415,610,1.0,1,1,10,40.0,0,0
419,615,0.0,3,0,1,35.0,0,0
420,620,0.0,2,0,1,26.0,0,0
421,624,0.0,3,0,1,21.0,0,0
422,625,0.0,3,0,6,21.0,0,0
423,626,0.0,1,0,8,61.0,0,0
424,627,0.0,2,0,5,57.0,0,0
425,628,1.0,1,1,9,21.0,0,0
426,629,0.0,3,0,3,26.0,0,0
428,631,1.0,1,0,8,80.0,0,0
429,632,0.0,3,0,1,51.0,0,0
430,633,1.0,1,0,8,32.0,0,0
432,636,1.0,2,1,5,28.0,0,0
433,637,0.0,3,0,3,32.0,0,0
435,641,0.0,3,0,1,20.0,0,0
436,642,1.0,1,1,9,24.0,0,0
438,647,0.0,3,0,3,19.0,0,0
439,648,1.0,1,0,8,56.0,0,0
441,650,1.0,3,1,1,23.0,0,0
443,653,0.0,3,0,4,21.0,0,0
445,655,0.0,3,1,1,18.0,0,0
447,659,0.0,2,0,5,23.0,0,0
448,660,0.0,1,0,10,58.0,0,0
449,662,0.0,3,0,1,40.0,0,0
450,663,0.0,1,0,7,47.0,0,0
451,664,0.0,3,0,1,36.0,0,0
452,665,1.0,3,0,3,20.0,0,0
453,667,0.0,2,0,5,25.0,0,0
455,669,0.0,3,0,1,43.0,0,0
456,672,0.0,1,0,9,31.0,0,0
457,673,0.0,2,0,1,70.0,0,0
458,674,1.0,2,0,5,31.0,0,0
460,676,0.0,3,0,2,18.0,0,0
461,677,0.0,3,0,1,24.5,0,0
462,678,1.0,3,1,4,18.0,0,0
464,682,1.0,1,0,9,27.0,0,0
465,683,0.0,3,0,4,20.0,0,0
466,688,0.0,3,0,4,19.0,0,0
467,689,0.0,3,0,2,18.0,0,0
468,690,1.0,1,1,10,15.0,0,0
470,694,0.0,3,0,1,25.0,0,0
471,695,0.0,1,0,7,60.0,0,0
472,696,0.0,2,0,5,52.0,0,0
473,697,0.0,3,0,1,44.0,0,0
475,700,0.0,3,0,2,42.0,0,0
476,702,1.0,1,0,7,35.0,0,0
477,704,0.0,3,0,2,25.0,0,0
478,705,0.0,3,0,1,26.0,0,0
479,706,0.0,2,0,7,39.0,0,0
480,707,1.0,2,1,5,45.0,0,0
481,708,1.0,1,0,7,42.0,0,0
482,709,1.0,1,1,10,22.0,0,0
484,711,1.0,1,1,9,24.0,0,0
486,714,0.0,3,0,4,29.0,0,0
487,715,0.0,2,0,5,52.0,0,0
488,716,0.0,3,0,2,19.0,0,0
489,717,1.0,1,1,10,38.0,0,0
490,718,1.0,2,1,1,27.0,0,0
492,720,0.0,3,0,2,33.0,0,0
493,722,0.0,3,0,1,17.0,0,0
494,723,0.0,2,0,5,34.0,0,0
495,724,0.0,2,0,5,50.0,0,0
496,726,0.0,3,0,4,20.0,0,0
498,730,0.0,3,1,3,25.0,0,0
499,731,1.0,1,1,10,29.0,0,0
500,732,0.0,3,0,6,11.0,0,0
502,734,0.0,2,0,5,23.0,0,0
503,735,0.0,2,0,5,23.0,0,0
504,736,0.0,3,0,6,28.5,0,0
505,738,1.0,1,0,1,35.0,0,0
509,745,1.0,3,0,3,31.0,0,0
510,748,1.0,2,1,5,30.0,0,0
511,750,0.0,3,0,2,31.0,0,0
512,753,0.0,3,0,4,33.0,0,0
513,754,0.0,3,0,3,23.0,0,0
514,757,0.0,3,0,2,28.0,0,0
515,758,0.0,2,0,5,18.0,0,0
516,759,0.0,3,0,1,34.0,0,0
517,760,1.0,1,1,10,33.0,0,0
519,762,0.0,3,0,1,41.0,0,0
520,763,1.0,3,0,1,20.0,0,0
521,765,0.0,3,0,2,16.0,0,0
522,766,1.0,1,1,9,51.0,0,0
524,768,0.0,3,1,2,30.5,0,0
526,770,0.0,3,0,4,32.0,0,0
527,771,0.0,3,0,4,24.0,0,0
528,772,0.0,3,0,1,48.0,0,0
529,773,0.0,2,1,1,57.0,0,0
531,776,0.0,3,0,2,18.0,0,0
533,778,1.0,3,1,5,5.0,0,0
535,780,1.0,1,1,10,43.0,0,0
536,781,1.0,3,1,1,13.0,0,0
537,783,0.0,1,0,8,29.0,0,0
539,785,0.0,3,0,1,25.0,0,0
540,786,0.0,3,0,1,25.0,0,0
541,787,1.0,3,1,1,18.0,0,0
542,790,0.0,1,0,10,46.0,0,0
544,792,0.0,2,0,7,16.0,0,0
546,795,0.0,3,0,3,25.0,0,0
547,796,0.0,2,0,5,39.0,0,0
548,797,1.0,1,1,7,49.0,0,0
549,798,1.0,3,1,4,31.0,0,0
550,799,0.0,3,0,1,30.0,0,0
551,801,0.0,2,0,5,34.0,0,0
552,805,1.0,3,0,1,27.0,0,0
553,806,0.0,3,0,2,31.0,0,0
554,807,0.0,1,0,1,39.0,0,0
555,808,0.0,3,1,2,18.0,0,0
556,809,0.0,2,0,5,39.0,0,0
557,811,0.0,3,0,3,26.0,0,0
558,812,0.0,3,0,7,39.0,0,0
559,813,0.0,2,0,1,35.0,0,0
560,815,0.0,3,0,1,30.5,0,0
562,817,0.0,3,1,3,23.0,0,0
563,819,0.0,3,0,1,43.0,0,0
564,822,1.0,3,0,4,27.0,0,0
565,823,0.0,1,0,1,38.0,0,0
569,830,1.0,1,1,10,62.0,0,0
571,834,0.0,3,0,1,23.0,0,0
572,835,0.0,3,0,4,18.0,0,0
573,837,0.0,3,0,4,21.0,0,0
575,839,1.0,3,0,9,32.0,0,0
577,841,0.0,3,0,3,20.0,0,0
578,842,0.0,2,0,1,16.0,0,0
579,843,1.0,1,1,8,30.0,0,0
580,844,0.0,3,0,1,34.5,0,0
581,845,0.0,3,0,4,17.0,0,0
582,846,0.0,3,0,1,42.0,0,0
583,848,0.0,3,0,3,35.0,0,0
584,852,0.0,3,0,2,74.0,0,0
585,858,1.0,1,0,7,51.0,0,0
587,862,0.0,2,0,5,21.0,0,0
588,863,1.0,1,1,7,48.0,0,0
589,865,0.0,2,0,5,24.0,0,0
590,866,1.0,2,1,5,42.0,0,0
591,867,1.0,2,1,5,27.0,0,0
592,868,0.0,1,0,9,31.0,0,0
594,871,0.0,3,0,3,26.0,0,0
595,873,0.0,1,0,1,33.0,0,0
596,874,0.0,3,0,4,47.0,0,0
597,876,1.0,3,1,1,15.0,0,0
598,877,0.0,3,0,4,20.0,0,0
599,878,0.0,3,0,3,19.0,0,0
601,880,1.0,1,1,10,56.0,0,0
602,881,1.0,2,1,7,25.0,0,0
603,882,0.0,3,0,3,33.0,0,0
604,883,0.0,3,1,5,22.0,0,0
605,884,0.0,2,0,1,28.0,0,0
606,885,0.0,3,0,1,25.0,0,0
607,887,0.0,2,0,5,27.0,0,0
608,888,1.0,1,1,8,19.0,0,0
610,890,1.0,1,0,8,26.0,0,0
611,891,0.0,3,0,2,32.0,0,0
612,892,,3,0,2,34.5,0,0
613,893,,3,1,1,47.0,0,0
614,894,,2,0,4,62.0,0,0
615,895,,3,0,4,27.0,0,0
616,897,,3,0,4,14.0,0,0
617,898,,3,1,2,30.0,0,0
618,900,,3,1,1,18.0,0,0
620,903,,1,0,7,46.0,0,0
621,908,,2,0,5,35.0,0,0
622,909,,3,0,1,21.0,0,0
623,910,,3,1,3,27.0,0,0
624,911,,3,1,1,45.0,0,0
625,913,,3,0,1,9.0,0,0
627,919,,3,0,1,22.5,0,0
628,920,,1,0,8,41.0,0,0
631,926,,1,0,9,30.0,0,0
632,927,,3,0,1,18.5,0,0
634,929,,3,1,4,21.0,0,0
635,930,,3,0,4,25.0,0,0
638,934,,3,0,2,41.0,0,0
639,935,,2,1,5,30.0,0,0
640,937,,3,0,3,25.0,0,0
641,938,,1,0,8,45.0,0,0
643,940,,1,1,9,60.0,0,0
644,943,,2,0,6,27.0,0,0
646,948,,3,0,3,35.0,0,0
647,949,,3,0,2,25.0,0,0
649,951,,1,1,10,36.0,0,0
650,952,,3,0,3,17.0,0,0
651,953,,2,0,5,32.0,0,0
652,954,,3,0,2,18.0,0,0
653,955,,3,1,2,22.0,0,0
655,958,,3,1,3,18.0,0,0
656,959,,1,0,9,47.0,0,0
657,960,,1,0,8,31.0,0,0
658,962,,3,1,2,24.0,0,0
659,963,,3,0,3,21.0,0,0
660,964,,3,1,3,29.0,0,0
661,965,,1,0,8,28.5,0,0
662,966,,1,1,10,35.0,0,0
663,967,,1,0,10,32.5,0,0
665,969,,1,1,7,55.0,0,0
666,970,,2,0,5,30.0,0,0
667,971,,3,1,2,24.0,0,0
668,974,,1,0,7,49.0,0,0
672,978,,3,1,3,27.0,0,0
673,979,,3,1,1,18.0,0,0
676,984,,1,1,9,27.0,0,0
678,986,,1,0,7,25.0,0,0
679,987,,3,0,2,25.0,0,0
680,989,,3,0,3,29.0,0,0
681,990,,3,1,1,20.0,0,0
682,991,,3,0,1,33.0,0,0
684,995,,3,0,2,26.0,0,0
685,997,,3,0,7,28.0,0,0
686,998,,3,0,2,21.0,0,0
689,1001,,2,0,5,18.5,0,0
690,1002,,2,0,6,41.0,0,0
692,1004,,1,1,8,36.0,0,0
693,1005,,3,1,1,18.5,0,0
695,1010,,1,0,9,36.0,0,0
696,1012,,2,1,6,12.0,0,0
698,1014,,1,1,9,35.0,0,0
699,1015,,3,0,1,28.0,0,0
701,1018,,3,0,2,22.0,0,0
703,1020,,2,0,5,42.0,0,0
704,1021,,3,0,1,24.0,0,0
705,1022,,3,0,1,32.0,0,0
706,1023,,1,0,8,53.0,0,0
709,1026,,3,0,3,43.0,0,0
710,1027,,3,0,1,24.0,0,0
711,1028,,3,0,1,26.5,0,0
712,1029,,2,0,5,26.0,0,0
713,1030,,3,1,1,23.0,0,0
714,1033,,1,1,10,33.0,0,0
715,1035,,2,0,7,28.0,0,0
716,1036,,1,0,7,42.0,0,0
718,1039,,3,0,1,22.0,0,0
720,1042,,1,1,10,23.0,0,0
722,1044,,3,0,1,60.5,0,0
723,1047,,3,0,1,24.0,0,0
724,1048,,1,1,10,29.0,0,0
725,1049,,3,1,1,23.0,0,0
726,1050,,1,0,7,42.0,0,0
728,1054,,2,1,5,26.0,0,0
730,1056,,2,0,5,41.0,0,0
731,1058,,1,0,9,48.0,0,0
733,1061,,3,1,4,22.0,0,0
735,1063,,3,0,1,27.0,0,0
737,1068,,2,1,8,20.0,0,0
738,1072,,2,0,5,30.0,0,0
740,1076,,1,1,10,27.0,0,0
741,1077,,2,0,6,40.0,0,0
742,1079,,3,0,1,17.0,0,0
743,1081,,2,0,5,40.0,0,0
745,1085,,2,0,5,61.0,0,0
746,1087,,3,0,1,33.0,0,0
747,1089,,3,1,2,18.0,0,0
748,1090,,2,0,1,23.0,0,0
751,1096,,2,0,1,25.0,0,0
753,1098,,3,1,2,35.0,0,0
754,1099,,2,0,1,24.0,0,0
755,1100,,1,1,8,33.0,0,0
756,1101,,3,0,3,25.0,0,0
757,1102,,3,0,7,32.0,0,0
759,1104,,2,0,9,17.0,0,0
760,1106,,3,1,2,38.0,0,0
761,1107,,1,0,9,42.0,0,0
764,1112,,2,1,5,30.0,0,0
765,1113,,3,0,1,21.0,0,0
766,1114,,2,1,1,22.0,0,0
767,1115,,3,0,2,21.0,0,0
768,1116,,1,1,8,53.0,0,0
770,1118,,3,0,2,23.0,0,0
772,1120,,3,0,6,40.5,0,0
773,1121,,2,0,5,36.0,0,0
774,1122,,2,0,9,14.0,0,0
775,1123,,1,1,7,21.0,0,0
776,1124,,3,0,1,21.0,0,0
778,1127,,3,0,1,20.0,0,0
779,1129,,3,0,1,20.0,0,0
780,1130,,2,1,5,18.0,0,0
781,1132,,1,1,8,55.0,0,0
784,1138,,2,1,6,22.0,0,0
786,1143,,3,0,3,20.0,0,0
787,1145,,3,0,4,24.0,0,0
788,1146,,3,0,4,32.5,0,0
791,1149,,3,0,1,28.0,0,0
792,1150,,2,1,5,19.0,0,0
793,1151,,3,0,2,21.0,0,0
794,1153,,3,0,1,21.0,0,0
795,1156,,2,0,5,30.0,0,0
800,1161,,3,0,4,17.0,0,0
801,1162,,1,0,9,46.0,0,0
805,1168,,2,0,1,28.0,0,0
806,1170,,2,0,6,30.0,0,0
807,1171,,2,0,1,22.0,0,0
808,1172,,3,1,4,23.0,0,0
810,1177,,3,0,1,36.0,0,0
815,1183,,3,1,1,30.0,0,0
817,1186,,3,0,4,36.0,0,0
818,1187,,3,0,3,26.0,0,0
820,1190,,1,0,9,30.0,0,0
821,1191,,3,0,1,29.0,0,0
822,1192,,3,0,2,32.0,0,0
824,1195,,3,0,4,24.0,0,0
826,1197,,1,1,7,64.0,0,0
827,1202,,3,0,4,18.0,0,0
828,1203,,3,0,1,22.0,0,0
830,1205,,3,1,2,37.0,0,0
831,1206,,1,1,10,55.0,0,0
832,1207,,3,1,2,17.0,0,0
833,1209,,2,0,1,19.0,0,0
834,1210,,3,0,1,27.0,0,0
835,1212,,3,0,2,26.0,0,0
836,1213,,3,0,1,25.0,0,0
837,1214,,2,0,5,26.0,0,0
838,1215,,1,0,7,33.0,0,0
839,1216,,1,1,10,39.0,0,0
840,1217,,3,0,1,23.0,0,0
841,1219,,1,0,10,46.0,0,0
842,1221,,2,0,5,21.0,0,0
843,1223,,1,0,8,39.0,0,0
845,1226,,3,0,3,27.0,0,0
846,1227,,1,0,7,30.0,0,0
847,1228,,2,0,5,32.0,0,0
848,1229,,3,0,1,39.0,0,0
849,1230,,2,0,8,25.0,0,0
851,1232,,2,0,1,18.0,0,0
852,1233,,3,0,2,32.0,0,0
853,1237,,3,1,2,16.0,0,0
854,1238,,2,0,5,26.0,0,0
855,1239,,3,1,1,38.0,0,0
856,1240,,2,0,5,24.0,0,0
857,1241,,2,1,6,31.0,0,0
858,1243,,2,0,1,25.0,0,0
859,1244,,2,0,9,18.0,0,0
860,1247,,1,0,7,50.0,0,0
861,1248,,1,1,9,59.0,0,0
864,1254,,2,1,6,31.0,0,0
865,1255,,3,0,4,27.0,0,0
867,1259,,3,1,8,22.0,0,0
868,1261,,2,0,5,29.0,0,0
869,1262,,2,0,5,21.0,0,0
870,1263,,1,1,10,31.0,0,0
871,1264,,1,0,1,49.0,0,0
872,1265,,2,0,5,44.0,0,0
873,1267,,1,1,10,45.0,0,0
874,1268,,3,1,4,22.0,0,0
875,1269,,2,0,5,21.0,0,0
876,1270,,1,0,9,55.0,0,0
878,1273,,3,0,3,26.0,0,0
881,1278,,3,0,2,24.0,0,0
882,1279,,2,0,5,57.0,0,0
883,1280,,3,0,2,21.0,0,0
884,1282,,1,0,10,23.0,0,0
885,1285,,2,0,1,47.0,0,0
886,1288,,3,0,1,24.0,0,0
887,1290,,3,0,2,22.0,0,0
888,1291,,3,0,2,31.0,0,0
889,1292,,1,1,10,30.0,0,0
890,1295,,1,0,9,17.0,0,0
891,1296,,1,0,8,43.0,0,0
892,1297,,2,0,5,20.0,0,0
